speaker_id,name,gender,movie_id,movie_name,label_agreeableness,label_openness,label_conscientiousness,label_extraversion,label_neuroticism
u0,BIANCA,F,m0,10 things i hate about you,,,,,
u2,CAMERON,M,m0,10 things i hate about you,,,,,
u3,CHASTITY,?,m0,10 things i hate about you,,,,,
u4,JOEY,M,m0,10 things i hate about you,,,,,
u5,KAT,F,m0,10 things i hate about you,,,,,
u11,WALTER,M,m0,10 things i hate about you,,,,,
u1,BRUCE,?,m0,10 things i hate about you,,,,,
u9,PATRICK,M,m0,10 things i hate about you,,,,,
u7,MICHAEL,M,m0,10 things i hate about you,,,,,
u6,MANDELLA,F,m0,10 things i hate about you,,,,,
u8,MISS PERKY,?,m0,10 things i hate about you,,,,,
u10,SHARON,?,m0,10 things i hate about you,,,,,
u12,ALONSO,?,m1,1492: conquest of paradise,,,,,
u23,SAILOR,?,m1,1492: conquest of paradise,,,,,
u13,AROJAZ,?,m1,1492: conquest of paradise,,,,,
u16,COLUMBUS,M,m1,1492: conquest of paradise,,,,,
u24,SANCHEZ,?,m1,1492: conquest of paradise,,,,,
u14,BEATRIX,?,m1,1492: conquest of paradise,,,,,
u15,BOBADILLA,?,m1,1492: conquest of paradise,,,,,
u17,FERNANDO,?,m1,1492: conquest of paradise,,,,,
u25,UTAPAN,?,m1,1492: conquest of paradise,,,,,
u19,MARCHENA,M,m1,1492: conquest of paradise,,,,,
u18,ISABEL,?,m1,1492: conquest of paradise,,,,,
u21,MOXICA,?,m1,1492: conquest of paradise,,,,,
u20,MENDEZ,?,m1,1492: conquest of paradise,,,,,
u22,PINZON,?,m1,1492: conquest of paradise,,,,,
u26,CUTLER,M,m2,15 minutes,,,,,
u30,EMIL,M,m2,15 minutes,,,,,
u34,JORDY,M,m2,15 minutes,,,,,
u27,DAPHNE,F,m2,15 minutes,,,,,
u29,EDDIE,M,m2,15 minutes,,,,,
u28,DUFFY,?,m2,15 minutes,,,,,
u35,KORFIN,M,m2,15 minutes,,,,,
u36,LEON,?,m2,15 minutes,,,,,
u44,ROSE,?,m2,15 minutes,,,,,
u41,NICOLETTE,F,m2,15 minutes,,,,,
u31,HAWKINS,?,m2,15 minutes,,,,,
u45,SECONDARY OFFICER,?,m2,15 minutes,,,,,
u32,HONEY,?,m2,15 minutes,,,,,
u33,IMMIGRATION OFFICER,?,m2,15 minutes,,,,,
u48,VENDOR,?,m2,15 minutes,,,,,
u42,OLEG,M,m2,15 minutes,,,,,
u39,MILOS,?,m2,15 minutes,,,,,
u37,MAGGIE,?,m2,15 minutes,,,,,
u40,MUGGER,?,m2,15 minutes,,,,,
u38,MAX,?,m2,15 minutes,,,,,
u47,TOMMY,?,m2,15 minutes,,,,,
u46,STEPHEN GELLER,?,m2,15 minutes,,,,,
u43,ROBERT HAWKINS,?,m2,15 minutes,,,,,
u55,FLOYD,?,m3,2001: a space odyssey,,,,,
u49,B20,?,m3,2001: a space odyssey,,,,,
u50,BOWMAN,M,m3,2001: a space odyssey,,,,,
u60,POOLE,M,m3,2001: a space odyssey,,,,,
u56,HAL,M,m3,2001: a space odyssey,,,,,
u51,C12,?,m3,2001: a space odyssey,,,,,
u52,CHILD,?,m3,2001: a space odyssey,,,,,
u59,PILOT,?,m3,2001: a space odyssey,,,,,
u53,CO-PILOT,?,m3,2001: a space odyssey,,,,,
u54,ELENA,?,m3,2001: a space odyssey,,,,,
u58,MILLER,?,m3,2001: a space odyssey,,,,,
u61,SMYSLOV,?,m3,2001: a space odyssey,,,,,
u57,MICHAELS,?,m3,2001: a space odyssey,,,,,
u75,LUTHER,?,m4,48 hrs.,,,,,
u62,ATTENDANT,?,m4,48 hrs.,,,,,
u71,HAMMOND,M,m4,48 hrs.,,,,,
u63,BARTENDER,?,m4,48 hrs.,,,,,
u69,GANZ,?,m4,48 hrs.,,,,,
u64,BILLY,?,m4,48 hrs.,,,,,
u65,CANDY,?,m4,48 hrs.,,,,,
u66,CASEY,?,m4,48 hrs.,,,,,
u67,CATES,M,m4,48 hrs.,,,,,
u70,HADEN,?,m4,48 hrs.,,,,,
u77,YOUNG COP,?,m4,48 hrs.,,,,,
u73,KEHOE,?,m4,48 hrs.,,,,,
u68,ELAINE,F,m4,48 hrs.,,,,,
u74,LISA,?,m4,48 hrs.,,,,,
u72,HENRY,?,m4,48 hrs.,,,,,
u76,SOSNA,?,m4,48 hrs.,,,,,
u78,CORNELIUS,M,m5,the fifth element,,,,,
u85,LEELOO,F,m5,the fifth element,,,,,
u99,ZORG,?,m5,the fifth element,,,,,
u84,KORBEN,M,m5,the fifth element,,,,,
